date_time;filename;git_hash;lines_html;size_html;size2_html;lines_typescript;size_typescript;size2_javascript;lines_css;size_css;size2_css;size2_zip;size3_zip
2023-09-02 23:22:21 +00:00;js13k2023_20230902_232221.zip;e9b29c0216d463b9d0f217f35018948252aa3f97;9;243;146;6;89;65;0;0;0;303;251
2023-09-03 14:40:11 +00:00;js13k2023_20230903_144011.zip;31ac4821851c213d8659831d443a162d1ea8431a;17;628;438;34;702;436;42;645;336;701;641
2023-09-08 22:52:30 +00:00;js13k2023_20230908_225230.zip;49b70b6dd03bd83497081dee9bb04e22dc579fc7;25;807;541;126;3735;2065;104;1302;737;1634;1560
2023-09-08 22:55:15 +00:00;js13k2023_20230908_225515.zip;e2640401e77b36805e90d675085c56139c74d9d3;25;807;541;121;3645;2021;102;1302;698;1610;1537
2023-09-09 18:32:36 +00:00;js13k2023_20230909_183236.zip;155be97e91df29933c86b73619e7c828fd85d3be;24;764;282;171;4368;1962;95;1312;736;1346;1283
2023-09-09 18:43:55 +00:00;js13k2023_20230909_184355.zip;2307f8a65bbfd58d3631ebb6fb4fb02438878cda;25;831;334;173;4253;1786;102;1404;799;1389;1329
2023-09-11 00:49:42 +00:00;js13k2023_20230911_004942.zip;c6e373d65dcbdd48f7b3763f0ed6d44cd9bf9d4c;25;921;324;322;13703;6454;102;1404;799;3625;3205
2023-09-11 02:49:28 +00:00;js13k2023_20230911_024928.zip;e76ae37454a4d77a83f2bf4324fbbf183845e473;25;921;324;457;18933;9761;102;1404;799;4905;4358
2023-09-11 02:58:25 +00:00;js13k2023_20230911_025825.zip;123524211080986d659f886d482ed5960663c286;25;921;324;457;18962;9778;102;1404;799;4922;4374
2023-09-11 20:33:00 +00:00;js13k2023_20230911_203300.zip;654cea90848ee0bcf828dfaca4ff96ef2c281955;28;1127;324;552;21605;10628;107;1447;827;5329;4763
2023-09-11 21:21:08 +00:00;js13k2023_20230911_212108.zip;3a14c5e4bbf5cb7f427bb369bfb081e672ff9063;29;1192;324;649;23972;11431;107;1447;827;5648;5068
2023-09-11 23:10:36 +00:00;js13k2023_20230911_231036.zip;33e3bfc346cb82ae1cd5580dd336397756e71b7a;29;1192;324;721;26954;12329;107;1447;827;5956;5364
2023-09-11 23:56:55 +00:00;js13k2023_20230911_235655.zip;72e4d596b8591f514012ad5285b593adbeb0240f;32;1394;324;721;26954;12329;131;1784;1061;6019;5430
2023-09-12 01:35:16 +00:00;js13k2023_20230912_013516.zip;1f69febc846badf742495857a81c3de4c9bc0bb4;32;1394;324;765;28238;12570;150;2108;1281;6158;5558
2023-09-12 02:00:26 +00:00;js13k2023_20230912_020026.zip;68476073fc1eaa185657fe9646b03e66b40bd30f;33;1428;504;788;29486;12998;161;2274;1390;6424;5823
2023-09-12 02:42:58 +00:00;js13k2023_20230912_024258.zip;6e40f4ad04f972834039fd6e26f76ecb719e5d56;33;1428;504;830;31095;13454;161;2274;1390;6567;5964
2023-09-12 11:38:55 +00:00;js13k2023_20230912_113855.zip;a82768f902015d16485b3bf37c59b69204d08f2f;35;1531;539;925;33875;14541;167;2341;1435;6983;6372
